fish_id,stage,site,reef,birth_date,pelagic_larval_duration,birth_lunar_day,birth_lunar_month,birth_lunar_phase,birth_moon_first_half,birth_moon_second_half
718,settler,TMM,125,2017-03-13,48,15,1165,pleine_lune,0.780555556,1
719,settler,MMM,111,2017-03-07,48,9,1165,premier_quartier,1,0.463888889
720,settler,MMM,111,2017-03-19,40,21,1165,pleine_lune,0.086111111,1
723,settler,MMM,NA,2017-03-15,42,17,1165,pleine_lune,0.561111111,1
725,settler,MMM,103,2017-03-09,49,11,1165,premier_quartier,1,0.747222222
731,settler,TOM,NA,2017-04-04,47,8,1166,premier_quartier,1,0.269444444
734,settler,TOM,NA,2017-03-26,47,28,1165,dernier_quartier,0,0.211111111
738,settler,MOM,NA,2017-03-24,49,26,1165,dernier_quartier,0,0.519444444
739,settler,MOM,NA,2017-03-21,58,23,1165,dernier_quartier,0,0.952777778
740,settler,MOM,NA,2017-03-31,48,4,1166,nouvelle_lune,0.577777778,0
741,settler,MOM,NA,2017-03-30,50,3,1166,nouvelle_lune,0.430555556,0
745,settler,MMM,NA,2017-03-26,54,28,1165,dernier_quartier,0,0.211111111
746,settler,MMM,NA,2017-03-23,56,25,1165,dernier_quartier,0,0.669444444
748,settler,MMM,NA,2017-04-02,49,6,1166,nouvelle_lune,0.894444444,0
749,settler,MMM,NA,2017-04-05,43,9,1166,premier_quartier,1,0.405555556
753,settler,VOW,NA,2017-03-29,48,2,1166,nouvelle_lune,0.288888889,0
754,settler,VOW,NA,2017-03-24,56,26,1165,dernier_quartier,0,0.519444444
757,settler,VOW,NA,2017-03-27,53,0,1166,nouvelle_lune,0.025,0.05
761,settler,VOE,NA,2017-03-26,54,28,1165,dernier_quartier,0,0.211111111
762,settler,VOE,NA,2017-03-27,53,0,1166,nouvelle_lune,0.025,0.05
769,settler,VOW,NA,2017-04-03,46,7,1166,premier_quartier,0.975,0.119444444
770,settler,VOE,NA,2017-03-28,49,1,1166,nouvelle_lune,0.152777778,0
771,settler,VMW,NA,2017-04-05,42,9,1166,premier_quartier,1,0.405555556
773,settler,VME,NA,2017-04-06,44,10,1166,premier_quartier,1,0.536111111
774,settler,VME,NA,2017-04-05,44,9,1166,premier_quartier,1,0.405555556
776,settler,MOM,100,2017-04-03,47,7,1166,premier_quartier,0.975,0.119444444
783,settler,MOM,93,2017-04-04,45,8,1166,premier_quartier,1,0.269444444
786,settler,MOM,86,2017-04-06,45,10,1166,premier_quartier,1,0.536111111
788,settler,MOM,86,2017-03-27,48,0,1166,nouvelle_lune,0.025,0.05
793,settler,MOM,91,2017-04-09,44,13,1166,premier_quartier,1,0.877777778
796,settler,TMM,131,2017-04-01,49,5,1166,nouvelle_lune,0.733333333,0
797,settler,TMM,131,2017-04-04,48,8,1166,premier_quartier,1,0.269444444
799,settler,TMM,137,2017-04-01,51,5,1166,nouvelle_lune,0.733333333,0
800,settler,TMM,134,2017-04-01,51,5,1166,nouvelle_lune,0.733333333,0
801,settler,TMM,127,2017-04-07,44,11,1166,premier_quartier,1,0.655555556
822,settler,MMM,117,2017-03-21,61,23,1165,dernier_quartier,0,0.952777778
828,settler,MMM,111,2017-04-12,41,16,1166,pleine_lune,0.794444444,1
831,settler,MMM,110,2017-04-03,50,7,1166,premier_quartier,0.975,0.119444444
835,settler,MMM,112,2017-03-30,53,3,1166,nouvelle_lune,0.430555556,0
836,settler,MMM,117,2017-04-06,45,10,1166,premier_quartier,1,0.536111111
845,settler,TOM,159,2017-03-28,52,1,1166,nouvelle_lune,0.152777778,0
846,settler,TOM,159,2017-04-14,39,18,1166,pleine_lune,0.561111111,1
847,settler,TOM,155,2017-04-05,44,9,1166,premier_quartier,1,0.405555556
850,settler,TOM,154,2017-04-12,39,16,1166,pleine_lune,0.794444444,1
851,settler,TOM,154,2017-03-30,49,3,1166,nouvelle_lune,0.430555556,0
854,settler,VOE,50,2017-04-04,49,8,1166,premier_quartier,1,0.269444444
857,settler,VOE,41,2017-04-05,48,9,1166,premier_quartier,1,0.405555556
859,settler,VOE,41,2017-04-06,47,10,1166,premier_quartier,1,0.536111111
861,settler,VOE,60,2017-04-05,48,9,1166,premier_quartier,1,0.405555556
866,settler,VOE,44,2017-04-08,44,12,1166,premier_quartier,1,0.769444444
867,settler,VME,76,2017-04-01,50,5,1166,nouvelle_lune,0.733333333,0
868,settler,VME,76,2017-04-07,44,11,1166,premier_quartier,1,0.655555556
869,settler,VME,67,2017-04-03,50,7,1166,premier_quartier,0.975,0.119444444
872,settler,VME,NA,2017-04-05,47,9,1166,premier_quartier,1,0.405555556
875,settler,VME,NA,2017-04-06,43,10,1166,premier_quartier,1,0.536111111
891,settler,VOW,20,2017-03-24,57,26,1165,dernier_quartier,0,0.519444444
894,settler,VOW,1,2017-03-31,50,4,1166,nouvelle_lune,0.577777778,0
902,settler,VOW,1,2017-04-05,48,9,1166,premier_quartier,1,0.405555556
906,settler,VMW,25,2017-04-09,45,13,1166,premier_quartier,1,0.877777778
910,settler,VMW,NA,2017-04-10,44,14,1166,premier_quartier,1,0.986111111
912,settler,VMW,NA,2017-04-08,42,12,1166,premier_quartier,1,0.769444444
913,settler,VMW,31,2017-03-30,52,3,1166,nouvelle_lune,0.430555556,0
915,settler,TOM,NA,2017-04-07,49,11,1166,premier_quartier,1,0.655555556
917,settler,TOM,NA,2017-04-13,45,17,1166,pleine_lune,0.680555556,1
921,settler,TOM,NA,2017-04-13,46,17,1166,pleine_lune,0.680555556,1
922,settler,TOM,NA,2017-04-14,42,18,1166,pleine_lune,0.561111111,1
923,settler,TOM,NA,2017-04-17,41,21,1166,pleine_lune,0.172222222,1
924,settler,MOM,89,2017-04-05,49,9,1166,premier_quartier,1,0.405555556
928,settler,MOM,96,2017-04-12,47,16,1166,pleine_lune,0.794444444,1
934,settler,MOM,98,2017-04-09,48,13,1166,premier_quartier,1,0.877777778
936,settler,MOM,86,2017-04-09,47,13,1166,premier_quartier,1,0.877777778
